user_id_3,step,ranking_score_user_3,relevance_score_user_3,topic_score_user_3
5,140,0,1,1
5,141,0,1,1
5,142,0,1,1
5,143,0,1,1
5,144,0,1,1
5,145,0,1,1
5,146,1,0,0
5,154,0,1,1
5,155,0,8,8
5,156,0,6,6
5,157,0,4,4
5,158,0,5,5
5,159,0,1,1
5,160,4,0,0
5,217,0,3,6
5,218,0,5,6
5,219,0,2,6
5,220,0,8,8
5,221,0,3,7
5,222,0,7,8
5,223,3,0,0
5,35,0,5,6
5,36,0,5,5
5,37,0,3,4
5,38,0,2,4
5,39,0,5,6
5,40,0,4,4
5,41,4,0,0
5,413,0,6,10
5,414,0,6,10
5,415,0,5,8
5,416,0,3,7
5,417,0,4,8
5,418,0,7,10
5,419,6,0,0
5,28,0,4,10
5,29,0,1,9
5,30,0,3,9
5,31,0,6,9
5,32,0,4,8
5,33,0,3,8
5,34,4,0,0
5,483,0,9,10
5,484,0,8,9
5,485,0,7,9
5,486,0,5,8
5,487,0,7,9
5,488,0,6,9
5,489,8,0,0
5,175,0,6,6
5,176,0,6,8
5,177,0,4,5
5,178,0,6,6
5,179,0,4,4
5,180,0,2,6
5,181,7,0,0
5,287,0,7,8
5,288,0,7,6
5,289,0,5,5
5,290,0,5,5
5,291,0,4,5
5,292,0,7,7
5,293,5,0,0
5,329,0,8,7
5,330,0,6,7
5,331,0,6,8
5,332,0,5,6
5,333,0,7,7
5,334,0,6,7
5,335,6,0,0
5,147,0,3,6
5,148,0,7,7
5,149,0,5,8
5,150,0,3,6
5,151,0,1,1
5,152,0,1,2
5,153,6,0,0
5,0,0,7,7
5,1,0,6,6
5,2,0,7,6
5,3,0,7,7
5,4,0,7,7
5,5,0,5,7
5,6,7,0,0
5,476,0,7,7
5,477,0,8,8
5,478,0,7,7
5,479,0,7,7
5,480,0,8,8
5,481,0,7,8
5,482,7,0,0
5,343,0,6,9
5,344,0,5,10
5,345,0,5,10
5,346,0,5,9
5,347,0,6,9
5,348,0,6,7
5,349,4,0,0
5,133,0,1,1
5,134,0,1,1
5,135,0,1,1
5,136,0,1,1
5,137,0,1,1
5,138,0,1,1
5,139,1,0,0
5,462,0,5,6
5,463,0,2,3
5,464,0,8,8
5,465,0,5,8
5,466,0,6,8
5,467,0,2,3
5,468,4,0,0
5,518,0,8,8
5,519,0,8,9
5,520,0,8,8
5,521,0,7,8
5,522,0,4,7
5,523,0,4,8
5,524,8,0,0
5,238,0,5,9
5,239,0,7,9
5,240,0,5,9
5,241,0,5,9
5,242,0,2,8
5,243,0,5,9
5,244,5,0,0
5,84,0,1,8
5,85,0,5,9
